4294,nzpf/1410,NZPF,2014-07-19,New Zealand,WGN,Hamilton,WBOP Powerlifting Novice Comp
4295,nzpf/1411,NZPF,2014-04-26,New Zealand,OTA,Dunedin,Southern Weightlifting Provincial Powerlifting Championships
4296,nzpf/1412,NZPF,2014-04-26,New Zealand,OTA,Dunedin,Southern Weightlifting Provincial Bench Press Championships
4297,nzpf/1413,NZPF,2014-09-20,New Zealand,OTA,Dunedin,Southern Weightlifting Club Lift
4298,nzpf/1414,NZPF,2014-03-08,New Zealand,OTA,Dunedin,Southern Weightlifting Club Lift
4299,nzpf/1415,NZPF,2014-11-15,New Zealand,OTA,Dunedin,Southern Weightlifting Club Lift
4300,nzpf/1416,NZPF,2014-09-27,New Zealand,AKL,Auckland,New Zealand Benchpress Championships
4301,nzpf/1501,NZPF,2015-11-28,New Zealand,CAN,Christchurch,Canterbury Raw Cup
4302,nzpf/1502,NZPF,2015-03-07,New Zealand,AKL,Auckland,Auckland 3- Lift Powerlifting & Benchpress Novice Competition
4303,nzpf/1503,NZPF,2015-04-11,New Zealand,AKL,Auckland,Auckland Powerlifting Championships
4304,nzpf/1504,NZPF,2014-05-23,New Zealand,AKL,Auckland,Auckland Benchpress Championships
4305,nzpf/1505,NZPF,2015-07-25,New Zealand,AKL,Auckland,Auckland 3- Lift Powerlifting & Benchpress Novice Competition
4306,nzpf/1506,NZPF,2015-11-07,New Zealand,AKL,Auckland,Auckland 3- Lift Powerlifting Club Competition
4307,nzpf/1507,NZPF,2015-11-07,New Zealand,AKL,Auckland,Auckland Record Breakers Championships
4308,nzpf/1508,NZPF,2015-02-05,New Zealand,BOP,Mt Maunganui,Icebreaker 2015
4309,nzpf/1509,NZPF,2015-06-20,New Zealand,WKO,Hamilton,WBOP Powerlifting Novice Comp
4310,nzpf/1510,NZPF,2015-09-14,New Zealand,BOP,Rotorua,Rotorua Novice Comp
4311,nzpf/1511,NZPF,2015-01-01,New Zealand,WKO,,WBOP Classic Cup
4312,nzpf/1512,NZPF,2015-03-28,New Zealand,,,WBOP Champs
4313,nzpf/1513,NZPF,2015-06-27,New Zealand,OTA,Dunedin,Special Olympics Ribbon Day Special
